row,no,batch_code,batch_name_ja,doc_type,work_ja,assignee,effort_hours,planned_start,planned_end,actual_start,actual_end,status_ja,status_en
5,2,COMMON,共通,シーケンス図,作成,SKG,40.0,2026-08-03,2026-08-07,2026-08-10,2026-08-17,完了,DONE
6,3,COMMON,共通,クラス図,作成,SKG,40.0,2026-08-03,2026-08-07,2026-08-11,2026-08-17,完了,DONE
7,4,COMMON,共通,クラス仕様,作成,SKG,,2026-08-12,2026-08-25,2026-08-12,,進行中,DOING
8,5,COMMON,共通,シーケンス図,Try-Sレビュー①,Try-S,,,,,,,TODO
9,6,COMMON,共通,クラス図,Try-Sレビュー①,Try-S,,,,,,,TODO
10,7,COMMON,共通,クラス仕様,Try-Sレビュー①,Try-S,,,,,,,TODO
12,9,MST-02-02,材料基本情報マスタ,シーケンス図,作成,SKG,40.0,2026-08-03,2026-08-07,2026-08-03,2026-08-07,完了,DONE
13,10,MST-02-02,材料基本情報マスタ,クラス図,作成,SKG,40.0,2026-08-03,2026-08-07,2026-08-03,2026-08-07,完了,DONE
14,11,MST-02-02,材料基本情報マスタ,クラス仕様,作成,SKG,48.0,2026-08-12,2026-08-19,2026-08-12,2026-08-19,完了,DONE
15,12,MST-02-02,材料基本情報マスタ,シーケンス図,Try-Sレビュー①,SKG・Try-S,1.0,2026-08-07,2026-08-07,2026-08-07,2026-08-07,完了,DONE
16,13,MST-02-02,材料基本情報マスタ,クラス図,Try-Sレビュー①,SKG・Try-S,1.0,2026-08-07,2026-08-07,2026-08-07,2026-08-07,完了,DONE
17,14,MST-02-02,材料基本情報マスタ,クラス仕様,Try-Sレビュー①,Try-S,,2026-08-19,2026-08-21,2026-08-27,2026-08-27,完了,DONE
18,15,MST-02-02,材料基本情報マスタ,シーケンス図,指摘修正①,SKG,1.0,2026-08-10,2026-08-10,2026-08-10,2026-08-10,完了,DONE
19,16,MST-02-02,材料基本情報マスタ,クラス図,指摘修正①,SKG,56.0,2026-08-10,2026-08-17,2026-08-10,2026-08-17,完了,DONE
20,17,MST-02-02,材料基本情報マスタ,クラス仕様,指摘修正①,SKG,,2026-08-24,2026-08-25,,,,TODO
21,18,MST-02-02,材料基本情報マスタ,シーケンス図,Try-Sレビュー②,Try-S,,,,,,,TODO
22,19,MST-02-02,材料基本情報マスタ,クラス図,Try-Sレビュー②,Try-S,,,,,,,TODO
23,20,MST-02-02,材料基本情報マスタ,クラス仕様,Try-Sレビュー②,Try-S,,,,,,,TODO
24,21,MST-02-02,材料基本情報マスタ,シーケンス図,東芝レビュー,東芝,,,,,,,TODO
25,22,MST-02-02,材料基本情報マスタ,クラス図,東芝レビュー,東芝,,,,,,,TODO
26,23,MST-02-02,材料基本情報マスタ,クラス仕様,東芝レビュー,東芝,,,,,,,TODO
